is_bot,message_length,has_media,unique_users_per_group_message,is_reply,url_count,total_messages,normalized_days_until_first_post,language_match,messages_repeat_by_user,username_matches_language,formatted_text_count,sample_ids,category,actual,predicted
0,35,0,1,1,1,22,0.9341,0,7,0,0,5,Games,False,False
0,209,0,1,1,1,7,0.7253,1,1,0,0,9,Games,False,False
0,102,0,1,1,1,14,0.9341,1,1,0,0,11,Games,False,False
0,235,0,1,1,1,14,0.9341,1,1,0,0,17,Games,False,False
0,238,0,1,0,1,14,0.9341,1,1,0,1,19,Games,False,False
0,230,0,1,1,1,12,0.9239,1,1,0,0,20,Games,False,False
0,219,0,1,0,1,6,0.7097,1,1,0,0,26,Games,False,False
0,255,0,2,0,1,9,0.914,1,1,0,1,28,Games,False,False
0,492,0,1,1,1,12,0.9043,1,1,0,0,39,Games,False,False
0,205,0,1,1,1,9,0.6947,1,1,0,0,44,Games,False,False
0,125,0,1,1,1,11,0.8854,1,1,0,0,48,Games,False,False
0,491,0,1,1,1,1,0.6804,1,1,0,0,50,Games,False,False
0,125,0,1,1,1,2,0.6735,1,1,0,0,54,Games,False,False
0,243,0,1,1,1,8,0.6735,1,1,0,0,55,Games,False,False
0,117,0,1,1,1,2,0.7959,1,1,1,0,57,Games,False,False
0,238,0,1,1,1,8,0.6667,1,1,0,0,62,Games,False,False
0,248,0,1,1,1,1,0.66,1,8,0,0,68,Games,False,False
0,416,0,1,1,1,4,0.6535,1,1,0,0,74,Games,False,False
0,75,0,1,0,1,2,0.7647,1,1,1,0,80,Games,False,False
0,531,0,1,1,1,12,0.6471,1,9,0,0,83,Games,False,False
0,143,0,1,1,1,2,0.3585,1,1,1,2,92,Games,False,False
0,484,0,1,1,1,3,0.6111,1,6,0,0,94,Games,False,False
0,471,0,1,1,1,12,0.787,1,1,0,0,96,Games,False,False
0,160,0,1,1,1,12,0.7798,1,1,0,0,99,Games,False,False
0,371,0,1,1,1,7,0.6,1,1,0,0,104,Games,False,False
0,141,0,1,1,1,11,0.7727,1,1,0,0,105,Games,False,False
0,486,0,1,1,1,11,0.7727,1,1,0,0,107,Games,False,False
0,188,0,1,1,1,13,0.7658,1,1,0,0,109,Games,False,False
0,546,0,1,1,1,13,0.5789,1,2,0,0,121,Games,False,False
0,547,0,1,1,1,13,0.5739,1,2,0,0,122,Games,False,False
0,486,0,1,1,1,8,0.569,1,1,0,0,124,Games,False,False
0,693,0,1,0,4,1,0.8632,1,1,1,9,127,Games,False,False
0,502,0,1,1,1,6,0.5593,1,2,0,0,129,Games,False,False
0,180,0,1,1,1,4,0.7083,1,1,0,0,134,Games,False,False
0,283,0,1,1,1,10,0.6746,1,1,0,0,152,Games,False,False
0,280,0,1,1,1,5,0.5116,1,1,0,0,156,Games,False,False
0,549,0,1,1,1,4,0.5077,1,2,0,0,159,Games,False,False
0,312,0,1,0,4,2,0.5038,1,1,0,7,160,Games,False,False
0,318,0,1,1,1,9,0.6439,1,2,0,0,168,Games,False,False
0,174,0,1,1,1,7,0.6296,1,1,0,0,176,Games,False,False
0,836,0,1,1,1,5,0.6204,1,1,0,0,181,Games,False,False
0,68,0,1,1,1,1,0.4058,1,1,0,0,191,Games,False,False
0,754,0,1,1,1,5,0.4748,1,1,0,0,194,Games,False,False
0,152,0,1,1,1,13,0.5944,1,1,0,0,202,Games,False,False
0,478,0,1,1,1,7,0.5944,1,1,0,0,208,Games,False,False
0,188,0,1,0,1,1,0.5903,1,1,0,0,209,Games,False,False
0,496,0,1,1,1,11,0.4552,1,1,0,0,217,Games,False,False
0,787,1,1,0,1,1,0.1172,1,1,1,7,219,Games,False,False
0,149,0,1,1,1,13,0.5782,1,1,0,0,227,Games,False,False
0,342,0,1,1,1,10,0.449,1,1,0,0,230,Games,False,False
0,366,0,1,1,1,10,0.449,1,1,0,0,232,Games,False,False
0,42,0,1,1,1,1,0.1141,1,1,1,0,237,Games,False,False
0,65,1,1,0,1,1,-3.5217,1,1,0,4,243,Games,False,False
0,182,0,1,0,1,2,0.5501,1,2,0,0,250,Darknet,False,False
0,396,1,1,0,2,13,0.5356,1,1,1,0,259,Crypto,False,False
0,269,1,1,0,2,6,0.0387,1,1,1,0,265,Crypto,False,False
0,263,1,1,0,1,6,0.0387,1,1,1,3,266,Crypto,False,False
