is_bot,message_length,has_media,unique_users_per_group_message,is_reply,url_count,total_messages,normalized_days_until_first_post,language_match,messages_repeat_by_user,username_matches_language,formatted_text_count,sample_ids,actual,predicted,predicted_cluster,category
0,140,0,1,0,1,1,0.8607,1,1,0,12,249,False,False,0,Darknet
0,427,1,1,0,1,2,0.0188,1,1,0,4,1057,False,False,0,Darknet
0,140,0,1,0,1,1,1.0068,1,1,0,1,3594,False,False,0,Darknet
0,1022,1,1,0,1,2,0.0128,1,1,0,0,3599,False,False,0,Darknet
0,988,1,1,0,1,2,0.0127,1,8,0,13,3600,False,False,0,Darknet
0,158,1,1,0,1,1,0.8182,1,1,0,8,3608,False,False,0,Darknet
0,29,1,1,0,1,1,0.5886,0,1,0,1,3621,False,False,0,Darknet
0,131,0,1,0,1,6,0.9977,1,1,0,0,6604,False,False,0,Darknet
0,637,0,1,0,7,12,0.9966,1,5,0,0,6610,True,False,0,Darknet
0,225,0,1,0,1,11,0.9966,1,9,0,0,6612,False,False,0,Darknet
0,488,0,1,1,1,28,0.9943,1,21,0,0,6617,False,False,0,Darknet
0,371,1,1,0,1,5,0.0,0,1,1,0,7982,False,False,0,Darknet
0,355,1,1,0,1,6,0.0,0,1,1,0,7989,False,False,0,Darknet
0,381,1,1,0,1,6,0.0,0,1,1,0,7990,False,False,0,Darknet
0,371,1,1,0,1,7,0.0,0,2,1,0,7992,False,False,0,Darknet
0,372,1,1,0,1,7,0.0,0,23,1,0,7995,False,False,0,Darknet
0,78,0,1,0,1,1,0.0881,1,1,1,0,11014,False,False,0,Darknet
0,33,0,1,1,1,1,0.9497,0,1,0,0,11016,False,False,0,Darknet
0,826,1,1,0,1,1,0.2945,1,1,0,1,11022,False,False,0,Darknet
0,252,1,1,0,1,2,0.0538,1,1,0,29,11036,False,False,0,Darknet
0,483,1,1,0,5,2,0.4129,1,1,0,17,11039,False,False,0,Darknet
0,603,1,1,0,2,1,0.0534,1,1,0,52,11040,False,True,0,Darknet
0,818,1,1,0,2,2,0.0525,1,1,0,20,11043,False,False,0,Darknet
0,476,0,1,0,1,2,0.7683,1,25,0,0,16554,False,False,0,Darknet
0,100,0,1,0,1,1,0.9355,1,1,0,0,23666,False,False,0,Darknet
0,91,0,1,1,1,1,0.7374,0,1,0,0,23744,False,False,0,Darknet
0,380,0,1,1,1,1,0.0503,0,1,0,0,23746,False,False,0,Darknet
0,352,0,1,0,1,1,0.669,1,2,1,1,26607,False,False,0,Darknet
0,79,0,1,0,1,1,1.0,1,1,0,0,26615,False,True,0,Darknet
0,1880,0,1,0,1,1,0.9264,1,1,1,0,26620,False,False,0,Darknet
0,1840,0,1,0,1,1,0.9245,1,1,1,0,26630,False,False,0,Darknet
0,372,0,1,0,2,8,0.9955,1,2,1,0,26635,False,False,0,Darknet
0,48,0,1,0,1,1,0.0764,0,1,0,0,26638,False,False,0,Darknet
1,454,0,1,0,1,1,0.8602,0,1,1,5,26641,False,False,0,Darknet
0,482,1,1,0,1,1,0.5778,1,2,0,1,26769,False,False,0,Darknet
0,358,1,1,0,1,1,0.5669,1,1,0,0,26776,False,False,0,Darknet
0,1010,1,1,0,1,1,0.7587,1,1,0,2,26778,False,False,0,Darknet
0,807,1,1,0,2,3,0.8383,1,6,0,50,26780,False,False,0,Darknet
0,1021,1,1,0,1,1,0.7573,1,3,0,0,26785,False,False,0,Darknet
0,3236,1,1,0,2,2,0.8372,1,1,0,50,26786,False,False,0,Darknet
0,943,1,1,0,1,5,0.0,1,5,0,32,26788,False,False,0,Darknet
0,3578,1,1,0,1,3,0.8357,1,1,0,25,26795,False,False,0,Darknet
0,4083,1,1,0,2,2,0.8353,0,4,0,95,26797,False,False,0,Darknet
0,339,1,1,0,1,2,0.59,1,5,0,0,26798,False,False,0,Darknet
0,4087,1,1,0,2,3,0.8338,0,1,0,95,26803,False,False,0,Darknet
0,2672,0,1,0,2,2,0.566,1,1,0,0,26805,False,False,0,Darknet
0,1365,1,1,0,2,3,0.8334,1,1,0,46,26808,False,False,0,Darknet
0,551,1,1,0,2,1,0.5655,1,1,0,0,26810,False,False,0,Darknet
0,4036,1,1,0,2,1,0.8308,0,1,0,95,26819,False,False,0,Darknet
0,437,1,1,0,1,2,0.0,1,1,0,4,26823,False,False,0,Darknet
0,314,1,1,0,1,1,0.8283,1,1,0,1,26824,False,False,0,Darknet
0,413,0,1,0,1,1,0.8107,1,1,0,0,29045,False,False,0,Darknet
0,93,0,1,0,1,1,0.7488,1,1,0,0,29051,False,False,0,Darknet
0,144,1,1,0,1,1,1.0012,1,1,0,1,29054,False,False,0,Darknet
0,31,0,1,0,1,17,0.9888,1,2,0,0,29435,False,False,0,Darknet
0,119,0,1,0,1,1,0.9796,1,2,0,0,29442,False,False,0,Darknet
0,706,0,1,0,2,1,0.0097,1,1,0,12,29446,False,False,0,Darknet
0,596,0,1,0,1,15,0.8148,1,34,0,15,29449,False,False,0,Darknet
0,541,0,1,0,2,41,1.0,1,100,0,77,30730,False,False,0,Darknet
0,81,1,1,0,1,15,1.0,1,4,0,5,30732,False,False,0,Darknet
0,239,1,1,0,1,3,0.8909,1,3,0,0,30736,False,False,0,Darknet
0,202,1,1,0,1,1,0.8333,1,3,0,7,30738,False,False,0,Darknet
0,55,1,1,0,1,7,0.7353,1,8,0,4,30741,False,False,0,Darknet
0,32,1,1,0,1,1,0.6806,0,1,0,1,30747,False,False,0,Darknet
1,129,1,1,0,1,40,0.8358,1,1,0,1,30815,False,False,0,Darknet
1,127,0,1,0,1,40,0.8358,1,1,0,1,30819,False,False,0,Darknet
1,127,1,1,0,1,40,0.8358,1,1,0,1,30822,False,False,0,Darknet
1,308,1,1,0,2,40,0.8358,1,1,0,1,30827,False,False,0,Darknet
1,268,1,1,0,2,40,0.8358,1,1,0,1,30828,False,False,0,Darknet
1,114,1,1,0,1,40,0.8358,1,1,0,1,30831,False,False,0,Darknet
1,101,1,1,0,1,40,0.8358,1,1,0,1,30832,False,False,0,Darknet
1,126,1,1,0,1,40,0.8358,1,1,0,1,30835,False,False,0,Darknet
1,110,1,1,0,1,40,0.8358,1,1,0,1,30841,False,False,0,Darknet
1,123,1,1,0,1,35,0.8349,1,1,0,1,30849,False,False,0,Darknet
1,129,1,1,0,1,35,0.8349,1,1,0,1,30851,False,False,0,Darknet
1,128,1,1,0,1,35,0.8349,1,1,0,1,30856,False,False,0,Darknet
1,129,0,1,0,1,35,0.8349,0,1,0,1,30877,False,False,0,Darknet
0,269,0,1,1,3,7,0.3737,0,1,0,0,30903,False,False,0,Darknet
1,354,1,1,0,2,37,0.834,1,1,0,1,30907,False,False,0,Darknet
1,302,1,1,0,2,37,0.834,1,1,0,1,30909,False,False,0,Darknet
1,125,1,1,0,1,37,0.834,1,1,0,1,30915,False,False,0,Darknet
1,123,1,1,0,1,71,0.834,1,2,0,1,30926,False,False,0,Darknet
1,145,1,1,0,1,71,0.8332,1,1,0,1,30929,False,False,0,Darknet
1,127,1,1,0,1,71,0.8332,1,1,0,1,30936,False,False,0,Darknet
1,151,0,1,0,1,71,0.8332,1,1,0,1,30941,False,False,0,Darknet
1,110,1,1,0,1,71,0.8332,1,1,0,1,30947,False,False,0,Darknet
1,273,1,1,0,2,71,0.8332,1,1,0,1,30948,False,False,0,Darknet
1,325,1,1,0,2,71,0.8332,1,1,0,1,30965,False,False,0,Darknet
0,48,0,1,1,1,2,0.3733,0,1,0,0,30988,False,False,0,Darknet
1,312,1,1,0,2,71,0.8332,1,1,0,1,30991,False,False,0,Darknet
1,216,1,1,0,2,21,0.8332,1,1,0,1,30994,False,False,0,Darknet
1,127,1,1,0,1,21,0.8323,1,1,0,1,31002,False,False,0,Darknet
1,129,1,1,0,1,21,0.8323,1,1,0,1,31004,False,False,0,Darknet
1,148,0,1,0,1,21,0.8323,1,1,0,1,31014,False,False,0,Darknet
1,114,1,1,0,1,21,0.8314,1,1,0,1,31018,False,False,0,Darknet
1,127,1,1,0,1,21,0.8314,1,1,0,1,31020,False,False,0,Darknet
1,123,1,1,0,1,21,0.8314,1,1,0,1,31024,False,False,0,Darknet
1,137,1,1,0,1,21,0.8314,1,1,0,1,31025,False,False,0,Darknet
1,121,1,1,0,1,21,0.8314,1,1,0,1,31030,False,False,0,Darknet
1,115,1,1,0,1,21,0.8314,1,1,0,1,31031,False,False,0,Darknet
1,291,1,1,0,2,21,0.8314,1,1,0,1,31038,False,False,0,Darknet
1,129,1,1,0,1,50,0.8306,1,1,0,1,31042,False,False,0,Darknet
