is_bot,message_length,has_media,unique_users_per_group_message,is_reply,url_count,total_messages,normalized_days_until_first_post,language_match,messages_repeat_by_user,username_matches_language,formatted_text_count,sample_ids,actual,predicted,predicted_cluster,category
0,228,0,1,1,1,7,0.6222,1,2,0,0,0,False,False,0,Games
0,440,0,1,1,2,7,0.7253,1,1,0,0,10,False,False,0,Games
0,168,0,1,0,1,14,0.9341,1,1,0,0,13,False,False,0,Games
0,216,0,1,1,1,14,0.9341,1,1,0,0,15,False,False,0,Games
0,134,0,1,1,1,14,0.9341,1,1,0,0,16,False,False,0,Games
0,156,0,1,1,1,14,0.9341,1,1,0,0,18,False,False,0,Games
0,133,0,1,1,1,12,0.9239,1,1,0,0,21,False,False,0,Games
0,133,0,1,1,1,12,0.914,1,1,0,0,24,False,False,0,Games
0,152,0,1,1,1,9,0.9043,1,1,0,0,30,False,False,0,Games
0,80,0,1,1,1,5,0.8211,0,1,1,0,40,False,False,0,Games
0,109,0,1,1,1,12,0.8947,1,1,0,0,41,False,False,0,Games
0,182,0,1,1,1,9,0.6947,1,1,0,0,43,False,False,0,Games
0,27,0,1,1,1,2,0.7959,1,1,1,0,56,False,False,0,Games
0,213,0,1,1,1,2,0.7723,1,1,1,0,76,False,False,0,Games
0,216,0,1,1,1,12,0.6408,1,1,0,0,85,False,False,0,Games
0,68,0,1,1,1,2,0.5437,1,1,0,0,86,False,False,0,Games
0,75,0,1,1,1,3,0.5091,1,1,0,0,102,False,False,0,Games
0,66,0,1,1,1,3,0.5091,1,1,0,0,103,False,False,0,Games
0,70,0,1,1,1,13,0.7589,1,1,0,0,112,False,False,0,Games
0,196,0,1,1,1,8,0.569,1,1,0,0,125,False,False,0,Games
0,490,0,1,1,1,5,0.7143,1,1,0,0,131,False,False,0,Games
0,295,0,1,1,1,3,0.5546,1,1,0,0,132,False,False,0,Games
0,163,0,1,1,1,13,0.7025,1,1,0,0,136,False,False,0,Games
0,545,0,1,1,1,1,0.6855,1,1,0,0,148,False,False,0,Games
0,270,0,1,1,1,4,0.5156,1,3,0,0,155,False,False,0,Games
0,479,0,1,1,1,6,0.6589,1,1,0,0,158,False,False,0,Games
0,312,0,1,1,1,6,0.5038,1,7,0,0,161,False,False,0,Games
0,116,0,1,1,1,3,0.4275,1,1,0,0,163,False,False,0,Games
0,400,0,1,1,1,7,0.4962,1,1,0,0,173,False,False,0,Games
0,65,0,1,1,1,7,0.6296,1,1,0,0,177,False,False,0,Games
0,473,0,1,1,1,5,0.625,1,1,0,0,180,False,False,0,Games
0,353,0,1,1,1,5,0.4818,1,3,0,0,187,False,False,0,Games
0,80,0,1,1,1,1,1.0,0,1,1,0,192,False,False,0,Games
0,807,0,1,1,1,5,0.4783,1,2,0,0,193,False,False,0,Games
0,588,0,1,1,1,5,0.4714,1,2,0,0,197,False,False,0,Games
0,322,0,1,1,1,7,0.6071,1,1,0,0,198,False,False,0,Games
0,753,0,1,1,1,10,0.4583,1,1,0,0,211,False,False,0,Games
0,393,0,1,1,1,10,0.4583,1,1,0,0,213,False,False,0,Games
0,102,0,1,1,1,2,0.5417,1,1,1,0,214,False,False,0,Games
0,129,0,1,1,1,3,0.5862,1,1,0,0,218,False,False,0,Games
0,481,0,1,1,1,10,0.449,1,1,0,0,231,False,False,0,Games
0,8,0,1,1,1,11,0.5705,1,1,0,0,240,False,False,0,Games
0,34,0,1,0,1,1,1.0,0,1,0,0,242,False,False,0,Games
0,320,0,1,0,1,3,-0.0233,1,1,0,4,244,True,False,0,Games
0,110,0,1,0,1,1,1.0,1,1,0,5,247,True,False,0,Games
1,164,0,1,1,9,12,1.0148,1,148,1,0,1365,True,True,0,Games
0,286,0,1,1,1,15,0.963,1,1,1,0,1367,True,False,0,Games
0,447,0,1,1,1,15,0.963,1,6,1,0,1372,True,True,0,Games
0,187,0,1,1,1,8,0.8964,1,1,1,0,1378,True,True,0,Games
0,500,0,1,1,1,15,0.9618,1,36,1,0,1381,True,True,0,Games
0,233,0,1,1,1,34,0.8594,1,15,1,0,1391,True,True,0,Games
0,735,0,1,1,2,22,0.9606,1,1,1,0,1415,True,False,0,Games
0,947,0,1,1,1,24,0.8584,1,1,1,0,1416,False,False,0,Games
0,233,0,1,1,1,22,0.9594,1,27,1,0,1423,True,True,0,Games
0,74,0,1,1,1,10,0.8931,1,1,1,0,1434,False,False,0,Games
0,52,1,1,1,1,1,0.9939,0,1,1,0,1435,False,False,0,Games
0,1005,1,1,0,5,1,0.0098,1,1,1,45,1442,True,True,0,Games
0,413,0,1,1,1,9,0.892,1,206,1,0,1444,True,True,0,Games
0,97,0,1,1,1,27,0.9559,1,1,1,0,1452,False,False,0,Games
0,236,0,1,1,1,33,0.8531,1,27,1,0,1462,True,True,0,Games
0,1662,0,1,1,4,33,0.8531,1,12,1,0,1465,False,False,0,Games
0,417,0,1,1,1,32,0.8898,1,8,1,0,1479,False,True,0,Games
0,37,0,1,1,1,32,0.8898,1,1,1,0,1482,True,False,0,Games
0,97,0,1,1,1,7,0.956,1,1,1,0,1491,False,False,0,Games
0,166,0,1,1,1,57,0.9524,1,1,1,0,1502,False,False,0,Games
0,423,0,1,1,1,57,0.9524,1,6,1,0,1508,True,True,0,Games
0,688,0,1,1,1,4,0.7829,1,1,1,2,1510,True,True,0,Games
0,424,0,1,1,1,4,0.7829,1,1,1,1,1511,False,True,0,Games
0,263,0,1,1,1,16,0.85,1,11,1,0,1514,False,True,0,Games
0,537,0,1,1,1,66,0.9512,1,1,1,0,1517,True,True,0,Games
0,578,0,1,1,1,66,0.9512,1,3,1,0,1523,False,True,0,Games
0,2659,0,1,1,1,66,0.9512,1,11,1,0,1526,False,False,0,Games
0,310,0,1,1,1,66,0.9501,1,1,1,0,1536,False,True,0,Games
0,123,0,1,1,1,66,0.9501,1,2,1,0,1539,False,False,0,Games
0,371,0,1,1,1,66,0.9501,1,1,1,0,1546,True,True,0,Games
0,874,0,1,1,1,20,0.849,1,1,1,0,1547,True,False,0,Games
0,118,0,1,1,1,25,0.8855,1,1,1,0,1552,False,False,0,Games
0,95,0,1,1,1,25,0.8844,1,2,1,0,1554,False,False,0,Games
0,1096,0,1,1,2,9,0.8504,1,1,1,0,1560,False,False,0,Games
0,52,0,1,1,1,9,0.8504,1,1,1,1,1563,True,False,0,Games
0,264,0,1,1,1,21,0.8504,1,20,1,0,1564,False,True,0,Games
0,94,0,1,1,1,15,0.8834,1,1,1,0,1569,False,False,0,Games
0,377,0,1,1,1,64,0.9478,1,5,1,0,1584,True,True,0,Games
0,49,0,1,1,1,64,0.9478,1,5,1,0,1587,True,False,0,Games
0,430,0,2,1,1,64,0.9478,1,1,1,0,1589,True,True,0,Games
0,430,0,1,1,1,6,0.949,1,20,1,0,1605,True,True,0,Games
0,444,0,1,1,1,34,0.9455,1,1,1,0,1607,True,True,0,Games
0,1151,0,1,1,2,19,0.9479,1,1,1,0,1616,False,False,0,Games
0,354,0,1,0,4,1,0.0097,1,1,1,23,1620,True,True,0,Games
0,2659,0,1,1,1,18,0.8462,1,4,1,0,1625,False,False,0,Games
0,414,0,1,1,1,34,0.8791,1,50,1,0,1633,True,True,0,Games
0,399,0,1,1,1,57,0.942,1,1,1,0,1648,True,True,0,Games
0,363,0,1,1,1,20,0.8418,1,1,1,0,1655,True,True,0,Games
0,144,0,1,1,1,37,0.9409,1,1,1,0,1665,False,False,0,Games
0,674,0,1,1,1,18,0.8408,1,1,1,0,1667,False,True,0,Games
0,258,0,1,1,1,23,0.877,1,2,1,0,1672,False,True,0,Games
0,580,0,1,1,1,16,0.8422,1,1,1,0,1679,False,False,0,Games
0,371,0,1,1,1,45,0.8759,1,1,1,0,1682,True,True,0,Games
0,67,0,1,1,1,2,0.7726,0,2,1,0,1686,False,False,0,Games
0,454,0,1,1,1,4,0.7716,1,1,1,2,1696,True,True,0,Games
0,362,0,1,1,1,31,0.9375,1,1,1,0,1703,True,True,0,Games
0,364,0,1,1,1,31,0.9375,1,1,1,0,1706,True,True,0,Games
0,365,0,1,1,1,31,0.9375,1,1,1,0,1708,True,True,0,Games
0,1850,0,1,1,2,28,0.9364,1,1,1,0,1718,False,False,0,Games
0,331,0,1,1,1,28,0.9364,1,1,1,0,1719,True,True,0,Games
0,1109,0,1,1,2,36,0.8391,1,1,1,0,1726,False,False,0,Games
0,1107,0,1,1,2,36,0.8391,1,1,1,0,1728,False,False,0,Games
0,40,0,1,1,1,17,0.8717,1,1,1,0,1737,True,False,0,Games
